sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
امیر,۱,"خیلی غیرحرفه‌ای هست که تو کلاس کاری یک فست فود زنجیره ای سفارش را ناقص بفرستن.مگه میشه ۳ تا پیتزا سفارش داد و یکیش را یادشون بره؟؟؟
واقعاً این انتظار را نداشتم
با این مدل مشتری مداری بار اول و آخری بود که ازتون خرید کردم",پیتزا پپرونی (ایتالیایی)
سوسه,۵,"برخلاف گفته های دوستان، پیتزای ما در عرض ۳۰ دقیقه گرم گرم رسید. نوشابه هم سرد بود. فقط پیک ماسک و دستکش نداشت.
ممنون از شما مثل همیشه خوشمزه بود",پیتزا آفریکانا (آمریکایی)
مهدیه,۴,خیلی بی مزه بود ونازک,پیتزا بیف گورمه (ایتالیایی)
مریم,۵,مثل همیشه عالی و خوشمزه، خیلی هم زود رسید خدا قوت,ماءالشعیر قوطی هی دی لیمو
حمید,۴,غذا گرم و عالی بود خمیر پیتزاهم خیلی خوش طعم بود,پیتزا چانو (ایتالیایی)
واهاگن,۱,پیک‌ که ظاهرا مال خود رستوران بود، بسیار بی ادب بودن و چون نتوانسته بودند آدرس (که در نقشه  کاملا مشخص است) پیدا کنند، به من اعتراض کردند و رفتار‌ نامناسبی داشتند.,پیتزا مونترال (آمریکایی)
Reza,۳,پیتزا گوشت و قارچ سفارش دادم ولی بجای گوشت چرخ کرده رست بیف داخل پیتزا بود,نوشابه قوطی اسپرایت
محمد امين,۱,بعد از یک ساعت و ۵۰دقیقه معطلی غذای سرد بی کیفیت تحویل گرفتیم ، اصلا راضی نبودیم و به همه حتما انتقال میدیم و میگیم که دیگه به شما به هیچ عنوان سفارش ندن ، غذا سرد سرد بود,اکو کمبو یک
reza,۱,یکی از بدترین پیتزاهایی بود که خوردم,نان سیر
نیما,۲,"واقعاً کیفیت غذاتون خیلی بد شده
من قبلاً همین سفارش را که میدادم خیلی لذت میبردم ولی الان افتضاح بود",سوپر برگر (پرسی)
راحیل,۳,غذا سرد رسید در حدی که مجبور شدیم کل سفارش رو دوباره گرم کنیم.مزه فست فود به گرم بودن غذا هست,پیتزا بیف گورمه (ایتالیایی)
فرخ لقا,۴,نسبت به دفعات قبل، خوش نمک تر بود. یعنی مقدار نمک آن بیشتر بود. ولی طعم و راه بودن آن عالی بود. پیک هم ماسک داشت. فقط درمورد سس، من سس تند درخواست کرده بودم ولی به جای آن سس مایونز گذاشته بودند,پیتزا میکس (آمریکایی)
علی,۱,نان ساندویچ هات داگ مانده و بیات بود و داخل بسته پودر پودر و پاره شده بود، در صورتیکه نان چیزبرگر تازه. بود، اصلا انتظار نداشتم، بسیار ناراضی هستم.,چیز برگر فرانسوی (پرسی)
آوا,۱,"واقعا از پیتزا سیب انتظار نمی‌رفت
این شعبه اسم پیتزا سیب رو خراب کرد
سرد بود موادش خیلی کم بود همش خمیر بود و از بی کیفیت ترین پنیر پیتزای ممکن استفاده شده بود بد مزه بود واقعا متاسفم حیف پولی که دادم",پیتزا گوشت و قارچ (آمریکایی)
محمد,۵,عالی ممنونم ازتون,فیوژن
عسل,۳,خوشمزه بود ولی فیله سوخاری نبود مزه ناگت میداد,ساندویچ سوچیک
الهه,۳,هم سرد رسید هم چربیش زیاد بود تو ذوقم زد,عود و استارتر
اميرحسين,۵,خوب و خوش طعم مواد با کیفیت اما حجم نسبتا کم با توجه به قیمت,پیتزا سوپریم (ایتالیایی)
مهناز,۵,من چند بار سفارش دادم کیفیتشون خوب هست ممنون,بلووز
کاظم,۵,بسیار بسیار عالی,پیتزا چیکن گورمه (ایتالیایی)
کاظم,۵,بسیار بسیار عالی,پیتزا چهارفصل (ایتالیایی)
امیرحسین,۵,کیفیت خوب بود ولی حجمش نسبت به قیمت کمی زیاد بود,ماشروم برگر
شهرام,۵,عالی بود مثل همیشه,رویال
بهنام,۱,سیب زمینی که داخلش بود خیلی کهنه و مونده بود اصلا قابل خوردن نبود,چیز برگر فرانسوی (پرسی)
محمد,۱,کیفیت بسیار پایین، قیمت خیلی زیاد نسبت به کیفیت متوسط رو به پایین. سیب زمینی خام و سرد بود. ساندویچ هات داگ فقط با گوجه و خیار شور بود. فلافل هم مخلفات بیشتری داره همراهش!,سیب زمینی پنیر ویژه
مرتضی,۵,خو‌شمزه و عالی و زود و گرم,پیتزا چانو (ایتالیایی)
Narges,۲,"سس داخل برگر که زده بودین خیلی بوی بد میدااااددد...و نخوردیم
سیب زمینی خوب بود",سیب زمینی
مهسا,۵,عاالی، خوشمزه با بسته‌بندی خوب و ارسال به موقع,استار کمبو (۲)
محمد,۵,عالی و سر وقت و گرم,پیتزا سوپریم (ایتالیایی)
مهسا,,خوب بود,اکو کمبو یک
شیدا,۵,بسیار عالی و با کیفیت,همبرگر
احمدرضا,۵,بی نظیر,پیتزا چیکن گورمه (ایتالیایی)
میلاد,۳,"سرد بودن غذا
خام بودن خمیر پیتزا",اکو کمبو سه
سعید,۵,عالی مثل همیشه,پیتزا بیف گورمه (ایتالیایی)
sanaz,۵,به موقع رسید خوشمزه بود,پیتزا مارگاریتا (ایتالیایی)
حامد,,بعد از مدتها سفارش دادیم و به نظر من کیفیت غذا نسبت به چند ماه قبل بالا اومده و ممنونم,پیتزا سوپریم (ایتالیایی)
افسانه,۳,به دلیل تاخیر در تحویل غذا سرد شده بود ولی مزه غذا فوق العاده بود,اکو کمبو دو
فرناز,۴,غذا با کیفیت و خوش طعم بود و به موقع رسید.,پیتزا چیکن گورمه (ایتالیایی)
ستاره,۴,یه کم نون پیتزا خمیر بود ولی در کل بد نبود,غذای کودک (پسرانه)
mahya,,عالی بود مثل همیشه,اکو کمبو یک
مرتضی,۴,"خوشمزه بود
بسته بندی خوبی هم داشت",پیتزا چانو (ایتالیایی)
مرجان,۴,"سلام خسته نباشید
کیفیت غذا خیلی خوب بود
اما خیلی طول کشید تا به دستمون برسه",پیتزا پپرونی (ایتالیایی)
علی,۲,"پیتزا خیلی خیلی خیلی نازک بود انگار رو کاغذ چند تا دونه پپرونی ریختن، تا حالا همچین پیتزای نازکی ندیده بودم ک الان دیدم
کیفیت غذا هم متوسط رو ب پایین بود
اصلا از سیب چنین انتظاری نداشتم !!!!!",استار کمبو (۲)
مهدی,۵,کیفیت غذاها و سرویس دهی عالیه. فقط حجم سیب زمینی سرخ کرده کمتر از جاهای دیگه است.,پیتزا بیکن (ایتالیایی)
معین,۵,"بسیار عالی
پیشنهاد میشود",پیتزا چانو (ایتالیایی)
فرناز,۵,ممنونم همه چيز عالي بود خُدا بهتون بركت بده,پیتزا آفریکانا (آمریکایی)
حمید,۵,عالی و خوشمزه,چیز برگر فرانسوی (پرسی)
علیرضا,۳,"پپرونیش یکم بو میداد
سیب زمینیشم خمیر بود",پیتزا پپرونی (ایتالیایی)
المیرا,,"نان سیر بسیار خوشمزه
پیتزا چیکن گورمه عالی
خیلی زود دستمون رسید گرم بود و بسیار خوش برخورد
من پیشنهاد میدم به همه",نان سیر
کمیل,۵,تجربه اولم بود از این غذا یمقدار احساس تک مزه ای بهم دست میداد ولی در کل خوب بود,بلووز
حسین,۴,سلام من از کیفیت پیتزا و ساندویچ خیلی راضی بودم اما سیب زمینی مقدارش کم بود .و اینکه غذا سرد بود و مجبور شدم بزارم تو مایکروویو. پیک هم برخوردش خوب بود,اکو کمبو دو
علی,۳,"کیفیت خوب
زمان خیلی دیر (۱ ساعت)",نان سیر
ستاره,۴,پیتزا کاملا معمولی بود و حجم مواد استفاده شده به نظرم یک مقدار نسبت به کلفتی نان کم بود.,نان سیر
Narges,۳,سیب زمینی سرد بود..کیفیت نسبت به قبل کم شده ...,پیتزا چیکن گورمه (ایتالیایی)
اصغر,۵,عالی,پیتزا بیف گورمه (ایتالیایی)
فربد,۳,"پیک آدرس رو اشتباه رفته بود و غذا دیر رسید
در کل بد نبود",پیتزا بیکن (ایتالیایی)
مهسا,۱,بسته بندی خیلی خوب بود میزان ساندویچ هم برای یک نفر خیلی خوب بود ولی بشدت بی مزه و بدمزه بود بوی زخم گوشت افتضاح بود یکم رو مزه کار کنید,ساندویچ رست بیف
alireza,۴,گوشت برگر کامل گریل نشده بود,سوپر برگر (پرسی)
مریم,۱,پیتزا اصلا مزه خوبی نداشت و بشدت سردددد بود,بلووز
amene,۵,پیتزا خوب بود کاش یکم پنیرشو بیشتر کنن ب نسبت کم بود.و اینکه تا بالا دم در اوردن و ممنون از اینکه زودتر اوردن و گرمم بود,نوشابه قوطی کوکاکولا
اکرم,۴,خوشمزه بود,پیتزا چیکن گورمه (ایتالیایی)
میلاد,۵,عالی بود,اکو کمبو یک
Mehran,۱,پیتزا خیلی بی کیفیت و سرد بود اصلا ارزش خرید نداشت,پیتزا چانو (ایتالیایی)
مينا,۱,مزخرف ترين پيتزايي كه ميشد سفارش بدي پيتزاي بيكن و پپروني شما بود. قيمت فضايي ولي كيفيت و طعم مزخرف.,نوشابه قوطی کوکا کولا
دانیال,۵,سیب زمینی کیفیتش مثل همیشه اونقدر بالا نبود ولی پیتزا خیلی خوب سالادم ۷ از ۱۰,پیتزا پپرونی (ایتالیایی)
حسین,۴,خوب بود ، فقط گرون بود ، نمیدونم چرا رستورانها با گرونی مواد اولیه غذارو گرون میکنن ولی با ارزون شدن مواد اولیه دیگه غذارو ارزون نمیکنن، البته این موضوع به همه رستورانها مربوطه,پیتزا بیکن (ایتالیایی)
حسین,,سیب۳۶۰ بنظرم بهترین فست فود تهرانه، عالی,پیتزا چیکن گورمه (ایتالیایی)
