sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
سید مصطفی,۵,"هر دو تا پیتزا خوب بود
حجم خوبی داشت
بسته بندی خیلی خوب بود
طعم خوب و گرم بود
به موقع هم رسید

ممنون از سیب ۳۶۰",پیتزا میکس کالزون (آمریکایی)
شیدا,۱,"نان پیتزا به شدت خمیر بود  
پیتزا جعبه کودک که کلا خمیرش نپخته و خام بود
سیب زمینی دوتا سفارش دادم یک عدد ارسال شد که اون هم حجمش خیلی کم بود 
کلا فکر کنم بخاطر تخفیف که گذاشتن کیفیت غذا زو به شدت پایین آوردن",پیتزا بیف گورمه (ایتالیایی)
سيده مهناز,۲,کیفیت غذا خیلی خیلی پایین بود .,پیتزا آفریکانا (آمریکایی)
شادی,۵,هر بار میگم واقعا عالیه,سیب زمینی پنیر ویژه
زهره,۱,غذا مالیات بر ارزش افزوده نداره,نان سیر
مهدی,۵,عالی,پیتزا بیف گورمه (ایتالیایی)
لیلا,۵,پیتزا سیب همیشه خوشمزه و باکیفیته,پیتزا بیکن (ایتالیایی)
سیما,۵,عاالیییییی بود.,پیتزا چانو (ایتالیایی)
حدیث,,خوب بود ولی عالی نه,ماشروم برگر
اتنا,۵,طعم و کیفیت پیتزا عالی,پیتزا میکس کالزون (آمریکایی)
کمال,۳,غذا از لحاظ طعم بد نبود ولی فوق العاده چرب بود در حدی که کاغذ زیرش کلا چرب شده بود,پیتزا گوشت و قارچ (آمریکایی)
حسن,۵,بسیارعالی,پیتزا چیکن گورمه (ایتالیایی)
محمد,,خیلی شور بود ادویه روی سیب زمینی نباید می بود من حساسیت دارم.,پیتزا میکس (آمریکایی)
محمد,۴,اگر پاستا و فیله مرغ و سالاد سزار هم در منو بگذارید عالی میشود.,دوغ قوطی خوشگوار
جواد,۲,سفارش اینجانب بدون دریافت نوشابه صورت گرفت,پیتزا گوشت و قارچ (آمریکایی)
Ngar,,فوق العاده سرد و سوخته بود....بعد از یک ساعت یه پیتزای سوخته گیرم اومد,پیتزا پپرونی (ایتالیایی)
علی,۱,ماشروم برگر سفارش دادم سرد خام و بد مزه در یک کلام افتضاح,ماشروم برگر
صدرا,,غذا عالی بود ولی خیلی دیر رسید,پیتزا میکس (آمریکایی)
مری,۵,خیلی سریع و داغ به دستم رسید.ممنونم,پیتزا آفریکانا (آمریکایی)
