"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"نسی","۵","ممنونم پیک زود رسید و اینکه همیشه به توضیحات توجه میکنین تشکر، فقط یه کوچولو این سری نمک پیتزا زیاد بودبنظرم ولی درکل خوب بود بازهم تشکر","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"واراگاد","۳","کراکف سوخته بود","ساندویچ کراکف"
"ملیکا","۵","كيفيت غذا عاليه واقعا غذا توي كم ترين زمان رسيد وكاملا گرم بود","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"رامین","۱","پیتزا یخ برام آوردن انگار پیتزای دیشبو گرم کردن واسم آوردن  اصلا یه چیز افتضاح یه راست انداختم سطل آشغال","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"سعید","۵","ممنون،پیک(آقای ابراهیمی) غذارو سریع وگرم رسوندن","استرامبولی دونر استیک پنیری"
"طاهره","۳","غذای معمولی و بی کیفیت راضی نبودم 
از مجموعه شیلا انتظار نداشتم...","استرامبولی چیکن آلفردو"
"سحر","۳","متاسفانه بر عکس دفعه های گذشته کیفیت بسیار پایین","استرامبولی دونر استیک پنیری"
"مریم","۵","ممنون ازتون عالی بود و مرسی از پیک محترم و خوش برخوردتون آقای ابراهیمی","پیتزا پپرونی (۳۰ سانتی‌ متری)"
"اکرم","۵","سلام 
شیلا که مشخصه و نیاز به تعریف نداره و ممنون شان هستیم. 
امروز پیک هم خیلی مودب و ظاهر مناسب و بیان درست بودند که از ایشون ( آقای ابراهیمی ) و از دقت مجموعه هم تشکر می کنم","چیز برگر"
"ا","۳","نسبت به قبل به شدت كيفيت پايين اومده از شيلا انتظار نميره كه كيفيت پايين بياد من مشترى چندين ساله شيلام و اكثر مواقع سفارشم رست بيف هست و تنها پيتزاييه كه ميخورم","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"خاطره","۳","حجم فیله بشدت پایین اومده بود ،انگار فقط داشتیم اون مواد سوخاریشو می‌خوردیم","چیکن استریپس"
"علی","۵","مثل همیشه عالی هستید فقط نوشابه من فراموش شد اونم حتما سرتون شلوغ بوده فدای سرتون بازم عالی همچی","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"رضا","۳","طعمش خوب بود ولی نونش خمیر بود سرو تهش هم مواد نداشت","استرامبولی چیکن آلفردو"
"مينا","۵","عالی مثل همیشه","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"خانم","۱","سوخته بود پيتزا غير قابل خوردن","پیتزا پپرونی (۲۳ سانتی‌ متری)"
"فرناز","۴","با روی خوش ادرس و برام تغییر دادن 
پیک اقای ابراهیمی بسیییییییییییییار خوش رفتار بودن 
غذا گرم ( داغ ) بود 
ممنون","استرامبولی چیکن آلفردو"
"آرزو","۵","خوشمزه بود و به موقع آوردند ممنون","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"mona","۵","شیلا همیشه کیفیتش خوبه. به نسبت قیمتش هم خوبه. هر بار که سفارش دادم پیگیر نظرم شدند. ممنونم که براتون مهمه.","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"شهلا","۵","راضی بودم، ممنونم، به موقع و داغ رسید.","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"حسین","۵","مثل همیشه عالی و خوشمزه در بسته بندی عالی 
تشکر از پیک تحویل دهنده اگر درست یادم باشه جناب آقای ابراهیمی که واقعا با ادب و خوش رفتار بودند 
درکل شیلا مجیدیه حرف نداری و همیشه همین جوری بمون","کمبو پلاس"
"علیرضا","۵","خوب بود","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"سوفیا","۵","نکته مهم اش ، نوشتن روی فاکتور نوش جان","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"Elna","۴","خیلی خیلی تند بود 
بنظرم باید اشاره بشود که خیلی تند هسته 
سس سفید نداشت","فرش هات برگر"
"افسانه","۵","بسییااار عالی مثل همیشه","پیتزا مرغ و اسفناج اسپینا چیکن (۳۰ سانتی متری)"
"ندا","۴","یکم بی نمک و بدون ادویه بود.","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"مصطفی","۵","خوب بود","ساندویچ هات داگ کلاسیک"
"ایمان","۵","عالی از همه نظر خیلی هم خوشمزه کاش حجم پاسترونی بیشتر بود","پاسترونی چیکن آلفردو"
"سوفیا","۵","با سلام ، آقای ابراهیمی نژاد مسئول تحویل بودن ، ممنونم .مانا باشید .","نوشابه قوطی فانتا پرتقالی"
"شهلا","۵","انقدر این غذا سریع و داغ به دستم رسید که انگار جلوی در خونمون فر گذاشته بودن، خیلی هم خوشمزه بود. ممنونم.","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"الهه","۵","خوب","فرش چیز برگر"
"نسی","۵","ممنون که به توضیحات توجه کردین مثل همیشه عالی و خوشمزه بود","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"زهره","۵","مث همیشه عالی","پیتزا کویین (۲۳ سانتی‌ متری)"
"آوا","۲","هیچ طعم ومزه  نداشت","سالاد سزار با مرغ سوخاری پنیری"
"Sahar","۵","عالی بود و پیک خوش برخورد","ساندویچ کراکف"
"فریما","۵","خسته نباشید میگم خدمت تمام همکاران و تشکر ویژه میکنم از همکارتون آقای ابراهیمی","استرامبولی چیکن آلفردو"
"مهدی","۳","بد نبود","فرش برگر"
"سعید","۵","با کیفیت و خوشمزه","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"نرگس","۵","پیک بسیار محترم ‌و خوش برخورد بودن","همبرگر"
"مرضیه","۵","خوشمزه","ساندویچ کراکف"
"علیرضا","۵","بسیار خوشمزه و ممنون از آقای ابراهیمی که غذا رو به موقع به دستمون رسوندن","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"فاطمه","۳","متاسفانه غذا طعم کارتن بسته‌بندی رو به خودش گرفته بود.","استرامبولی چیکن آلفردو"
"زهرا","۲","سفارش من ده دقیقه ای رسید و اصلا مزه و کیفیت خوبی نداشت .","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"مهتاب","۵","مثل همیشه عالی","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"رها","۴","جدیدا کوچیک شدن و محتوای داخلش کم.قیمت رو ببرید بالا از کیفیت کم نکنید لطفا","استرامبولی ژامبون پنیری"
"زارا","۳","خوشمزه بود اما نه سس قارچ داشت، نه جعفری. حذف دو تا آیتم جالب نبود.","ساندویچ کراکف"
"امیرمحمد","۴","همه چی مثل همیشه عالی بود، آقای ابراهیمی هم که ماشاءاااالله هرسری سفارشو زودتر از سری قبل میاره آدمو غافل گیر میکنه","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"نوید","۵","کیفیت غذا عالی بود، خیلی سریع و داغ رسید. پیک آقای ابراهیمی بسیار خوش رو و سریع تحویل دادند.","پیتزا فیتکس پپرونی ۲۳*۱۰ سانتی متری"
"مهسا","۱","کیفیت پایین","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
". امیر","۴","بد نبود عالی هم نبود","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"neda","۵","همیشه عالی","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"فرانک","۵","شیلا مثل همیشه عالی گرم با طعم بی‌نظیر و رفتار پیک بسیار ستودنی بود","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"مهدی","۵","خیلی خوب و بسته بندی عالی بود","سالاد سزار با مرغ گریل"
"محمدرضا","۵","زمان کم و غذای داغ بدستم رسید برخورد پیک هم عالی بود آقای ابراهیمی عزیز","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"مهدی","۵","ممنونم مثل همیشه عالی بود دست شما درد نکنه","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"ایمان","۵","عالی","پاسترونی چیکن آلفردو"
"الهام","۵","عالی","کمبو فیت"
".","۵","کیفیت عالی خیلی هم سریع رسید ممنون","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"امیر","۵","برگر واقعاً خاص هست!","فرش چیز برگر"
"فاطمه","۵","خیلی زودتر از تایمش به دستم رسید و مثل همیشه گرم و خوشمزه بود ، شیلا یه حسنی که داره پیگیری بعد از سفارشه که مطمئن بشن مشتری راضیه و این شما رو خاص میکنه","فینگر کریسپی بزرگ"
"هادی","۵","مثل همیشه عالی","استرامبولی دونر استیک پنیری"
"نیلوفر","۳","غذا معمولی بود","چیکن استریپس"
"محمدرضا","۳","بسیار معمولی. نه خیلی بده که بگید این چی بود و نه اونقدر خوب. دنبال طعم خیلی خوشمزه از پیتزا نباشید.","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"کاویان","۵","پیک بسیار محترم و خوش برخورد","فرش چیز برگر"
"خانم","۱","کیفیت پایین بود.اصلا خوشمزه نبود .به نظر مونده میومد .ضپن اینکه پیتزا رست بیف سفارش داده بودیم اشتباهی پیتزا دونر فرستادن .ماهم مهمان داشتیم و گرسنه بودیم خوردیم.سری قبل هم از خود شیلا سوخاری سیبزمینی گرفتم اصلا خوب نبود.واقعا دیگه خرید غذای بیرون نمیصرفه .هم گرون کردن هم کیفیت اومده پایین .","پیتزا رست بیف (۳۰ سانتی‌ متری)"
